answer_text,word_count,dream_entry_title,date,respondent,survey,"Sex Assigned at Birth","Typical Dreams: Falling","Age Range",Age,"ZIP Code","Income Tier","Income (values)",Race/Ethnicity,"Education Level","Education Level (values)","Race/Ethnicity (values)",Region,"College Degree","Race Recode","Political Ideology","Political Ideology 2","Religious Affiliation A","Born Again Christian","Marital status","Marital Status A",<none>,"Coffee drinkers at home","<BR>Do you or anyone in your household brew any of the coffee consumed at home on a Keurig single brew (k-cup) machine?","Religious Worship A","Tea Party Views","Passport Ownership","US State of Residence",ID,"Political Party x Race/Ethnicity","Marital Status & Gender",TIME,Total,"Would you be interested in speaking with a reporter about the results of this survey?","More Spiritual Than Religious","Insomnia Nights Per Week A",Likelihood,"Ideology Recoded","Typical Dreams: Flying",DATE1,DATE2,Generation,"Earliest Remembered Dream: Recurrent","2008 President","Hours of sleep per night","Typical Dreams: Sexual","Parent of a young child","Would you be interested in participating in an interactive online focus group in the future?","Sexual Dreams Before Waking Sexual Activity","Typical Dreams: Just Like Waking Life","Typical Dreams: Awareness","Typical Dreams: Control","Most Recent Dream: Recurrent","Worst Nightmare: Recurrent",Registered,"2008 Presidential Vote","Political Party","Dream Recall","2008 results","Nightmare Recall",Party,"Talking About Dreams","Typical Dreams: Visitation","Typical Dreams: Being Chased or Attacked","Race/Ethnicity D"
Refused,1,"Dream Text: Worst Nightmare",2010-08-03T05:11:52+00:00,zogby_052110:15,"2010 Demographic Survey",Male,No,25-34,18-29,20036,"Low-middle income",$35-50K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Cons,8,Protestant,,Single,"Single, never married",25.00,Yes,Yes,Rarely,"Not Important",Yes,"Washington DC","411,433","White Rep","Other Male","45,614",Total,No,Yes,1,"Very likely",Conservative,Yes,21,21,"First Globals",,McCain,7,Yes,No,,Yes,Yes,"Not sure","Not sure",,Yes,Yes,McCain,Republican,"Once a week",McCain,"Less than once a month",Republican,"Less than once a month","Not sure",Yes,No/NS
"Not sure specifically, but dreams where my family dies, or I'm diagnosed with an incurable illness.",16,"Dream Text: Worst Nightmare",2010-08-03T05:11:53+00:00,zogby_052110:153,"2010 Demographic Survey",Female,No,18-24,18-29,91423,,,White,"Some College",SomeCol,White,West,"No College Degree",1,Lib,3,Jewish,,Single,"Single, never married",0,Yes,No,Holidays,"Not Important",Yes,California,"982,242","White Dem","Other Female","46,727",Total,"Not sure",No,0,"Very likely",Liberal,No,21,21,"First Globals","Not sure",Obama,8,No,No,,,Yes,Yes,No,No,"Not sure",Yes,Obama,Democratic,"Almost every morning or more often",Obama,"Two or three times a month",Democratic,"Two or three times a month",No,No,No/NS
"John McCain was elected president, dies. Sarah Palin president, causes nuclear war. End of humanity.",15,"Dream Text: Worst Nightmare",2010-08-03T05:11:54+00:00,zogby_052110:786,"2010 Demographic Survey",Male,Yes,25-34,18-29,20740,"Low income",$25-35K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Prog,"Extremely liberal",,,Single,"Single, never married",29.00,Yes,No,,"Not Important",No/NS,Maryland,"379,241","White Ind","Other Male","47,402",Total,No,Yes,7,"Very likely",Liberal,Yes,21,21,"First Globals",,Obama,8,Yes,No,,"Not sure",Yes,Yes,Yes,,No,Yes,Obama,Green,"Several times a week",Obama,"About once a week",Independent,"Two or three times a month",Yes,Yes,No/NS
"I often have nightmares about spaceships, or unknown forces coming across a horizon, often with a sense of impending doom. The anticipation of death lasts and lasts and lasts...eventually i wake up.",33,"Dream Text: Worst Nightmare",2010-08-03T05:11:53+00:00,zogby_052110:738,"2010 Demographic Survey",Male,No,25-34,18-29,27601,"Upper-middle income",$75-100K,White,"College Degree",Col+,White,South,"College Degree+",1,Lib,4,Other/None,,Single,"Single, never married",28.00,Yes,No,Never,"Not Important",Yes,"North Carolina","259,763","White Dem","Other Male","48,148",Total,Yes,"NS/not religious or spiritual",0,"Very likely",Liberal,No,21,21,"First Globals",No,Obama,7.5,Yes,No,,Yes,Yes,No,No,Yes,Yes,Yes,Obama,Democratic,"Once a week",Obama,"Two or three times a month",Democratic,"About once a week",No,Yes,No/NS
"Ceiling collapses/ buried alive. Recurring, stress-related nightmares",8,"Dream Text: Worst Nightmare",2010-08-03T05:11:53+00:00,zogby_052110:314,"2010 Demographic Survey",Female,No,25-34,30-44,98117,"Middle income",$50-75K,White,"College Degree",Col+,White,West,"College Degree+",1,Lib,2,Other/None,,Single,"Single, never married",33.00,Yes,No,Rarely,"Not Important",Yes,Washington,"375,356","White Dem","Other Female","48,390",Total,Yes,Yes,2,"Very likely",Liberal,Yes,21,21,Nikes,Yes,Obama,7,Yes,No,,No,Yes,No,Yes,,Yes,Yes,Obama,Democratic,"Once a week",Obama,"Less than once a month",Democratic,"Less than once a month",No,No,No/NS
"The same as the last dream that I recounted. Naked child running away from a nurse with a shot.",19,"Dream Text: Worst Nightmare",2010-08-03T05:11:54+00:00,zogby_052110:1104,"2010 Demographic Survey",Male,Yes,18-24,18-29,95051,"Low-middle income",$35-50K,Other,"College Degree",Col+,Other,West,"College Degree+",0,Prog,2,Catholic,,Single,"Single, never married",24.00,No,No,Holidays,"Not Important",Yes,California,"371,546",Other,"Other Male","48,675",Total,Yes,No,3,"Very likely",Liberal,No,21,21,"First Globals",No,Obama,7,Yes,No,,Yes,Yes,No,No,Yes,No,Yes,Obama,Democratic,"Several times a week",Obama,"About once a week",Democratic,"Several times a week",Yes,Yes,No/NS
"I was trapped in a maze. The maze had mirrors and long corridors, and you would get stuck in the middle of them going very very slowly even though I wanted to go very very quickly, or vice versa. It was humid in the maze. Like I was in the jungle. I could hear birds outside, but it was still very dark and couldnt find an exit. It terrified me, over and over again. Every night. That's what scared me the most about it. I've had nightmares before, but it was so effing creepy that it kept coming back. Only once did I make it out of the maze. And I made it out and there was a dock and a boat waiting for me. I was in the jungle and the outside of the maze building was a blueish/purple color. Someone in the boat was waiting for me and I got on it. I never had the dream again after that.",163,"Dream Text: Worst Nightmare",2010-08-03T05:11:54+00:00,zogby_052110:1097,"2010 Demographic Survey",Female,No,25-34,18-29,20121,"High income",$100+,"Hispanic or Latino","College Degree",Col+,Hisp,South,"College Degree+",2,Lib,2,Other/None,,Married,Married,2.45,Yes,No,Never,"Not Important",Yes,Virginia,"882,637","Hisp Dem","Married Female","50,559",Total,Yes,Yes,2,"Very likely",Liberal,Yes,21,21,"First Globals",No,Obama,7,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,Obama,Democratic,"Almost every morning or more often",Obama,"About once a week",Democratic,"About once a week",Yes,Yes,Yes
"I was about 6 years old. I drove to the grocery store with my cousin. On the way back I saw King Kong approaching behind me in the car mirror. When I pulled into the driveway I quickly got out and ran inside (my cousin was gone). My dad was watching TV and my mom was cooking dinner, but both were oblivious to King Kong. I ran and hid under my parent's bed, and King Kong looked into the window of their room, looking for me. Then I woke up. As far as I can remember this is the only time I had that dream.",105,"Dream Text: Worst Nightmare",2010-08-03T05:11:55+00:00,zogby_052110:1440,"2010 Demographic Survey",Male,Yes,18-24,18-29,66073,"Low income",$25-35K,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Prog,2,Catholic,,Married,Married,24.00,Yes,No,Weekly,"Not Important",No/NS,Kansas,"1,115,641","White Dem","Married Male","51,195",Total,Yes,No,0,"Very likely",Liberal,Yes,21,21,"First Globals",,Obama,7,Yes,No,,Yes,No,Yes,Yes,,No,Yes,Obama,Democratic,"1 to 3 times a month",Obama,"Less than once a month",Democratic,"Less than once a month","Not sure",Yes,No/NS
"I try not too.",4,"Dream Text: Worst Nightmare",2010-08-03T05:11:56+00:00,zogby_052110:1813,"2010 Demographic Survey",Female,Yes,25-34,18-29,"Refused to answer","High income",$100+,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Prog,2,Other/None,,Single,"Single, never married",25.00,Yes,No,Never,"Very important",Yes,Pennsylvania,"826,847","White Dem","Other Female","51,819",Total,Yes,"NS/not religious or spiritual",0,"Very likely",Liberal,Yes,21,21,"First Globals",,Obama,7,Yes,No,,"Not sure",Yes,Yes,Yes,No,Yes,Yes,Obama,Democratic,"Almost every morning or more often",Obama,"Less than once a month",Democratic,"Several times a week",Yes,No,No/NS
"Recently I had a terrible dream. I was in a store with two people and I killed someone. I shot them with a gun by accident. I was too scared to go to the police and tell them what I had done, so instead I tried to blend into society. I went to my class, which was filled with old classmates from college and people from my current job. Everyone was really hostile towards me, and my manager, whom i cannot stand in real life, yelled out ""You killed [so and so]!!"" After that I left the class, and the next day I was not allowed into class, and I had to continue running.",114,"Dream Text: Worst Nightmare",2010-08-03T05:11:53+00:00,zogby_052110:291,"2010 Demographic Survey",Female,Yes,25-34,18-29,11372,"Middle income",$50-75K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Prog,"Extremely liberal",Other/None,,Married,Married,28.00,Yes,No,Never,"Not Important",Yes,"New York","815,058","White Dem","Married Female","53,048",Total,Yes,Yes,2,"Somewhat likely",Liberal,"Not sure",21,21,"First Globals",No,Obama,6,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Obama,Democratic,"1 to 3 times a month",Obama,"Less than once a month",Democratic,"Two or three times a month",Yes,Yes,No/NS
